canonical_id,name,security_level,implementation_type,disposition,execution_eligibility,policy_route,approval_mode,required_controls
020,War-Chest OS,CRITICAL,SHARED_SERVICE,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,EXPLICIT_APPROVAL_REQUIRED,pillar_policy;actor_authorization;tenant_scope;audit;explicit_approval
021,Crown OS,CRITICAL,POLICY,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,EXPLICIT_APPROVAL_REQUIRED,pillar_policy;actor_authorization;tenant_scope;audit;explicit_approval
022,Architect OS,CRITICAL,SHARED_SERVICE,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,EXPLICIT_APPROVAL_REQUIRED,pillar_policy;actor_authorization;tenant_scope;audit;explicit_approval
023,Regency OS,HIGH,POLICY,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,POLICY_DEPENDENT,pillar_policy;actor_authorization;tenant_scope;audit
024,Kiro-OS,MEDIUM,AUTOMATION,KEEP,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,STANDARD,pillar_policy;actor_authorization;tenant_scope;audit;bounded_automation
025,Servitor-OS,HIGH,AUTOMATION,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,POLICY_DEPENDENT,pillar_policy;actor_authorization;tenant_scope;audit;bounded_automation
026,Programming-OS,HIGH,SHARED_SERVICE,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,POLICY_DEPENDENT,pillar_policy;actor_authorization;tenant_scope;audit
027,Repository OS,HIGH,SHARED_SERVICE,KEEP,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,POLICY_DEPENDENT,pillar_policy;actor_authorization;tenant_scope;audit
028,Cloud-OS,CRITICAL,CORE,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,EXPLICIT_APPROVAL_REQUIRED,pillar_policy;actor_authorization;tenant_scope;audit;explicit_approval
029,Deployment OS,CRITICAL,CORE,KEEP,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,EXPLICIT_APPROVAL_REQUIRED,pillar_policy;actor_authorization;tenant_scope;audit;explicit_approval
030,Edge-Function OS,HIGH,CORE,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,POLICY_DEPENDENT,pillar_policy;actor_authorization;tenant_scope;audit
031,Cron-Job OS,HIGH,CORE,KEEP,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,POLICY_DEPENDENT,pillar_policy;actor_authorization;tenant_scope;audit
032,Automation-Pipe OS,HIGH,SHARED_SERVICE,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,POLICY_DEPENDENT,pillar_policy;actor_authorization;tenant_scope;audit
033,Monitoring OS,CRITICAL,CORE,KEEP,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,EXPLICIT_APPROVAL_REQUIRED,pillar_policy;actor_authorization;tenant_scope;audit;explicit_approval
034,Error-Correction OS,HIGH,AUTOMATION,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,POLICY_DEPENDENT,pillar_policy;actor_authorization;tenant_scope;audit;bounded_automation
035,Scale-OS,HIGH,SHARED_SERVICE,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,POLICY_DEPENDENT,pillar_policy;actor_authorization;tenant_scope;audit
036,Optimization OS,HIGH,AUTOMATION,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,POLICY_DEPENDENT,pillar_policy;actor_authorization;tenant_scope;audit;bounded_automation
037,Load-Balance OS,CRITICAL,CORE,KEEP,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,EXPLICIT_APPROVAL_REQUIRED,pillar_policy;actor_authorization;tenant_scope;audit;explicit_approval
038,Security OS,CRITICAL,CORE,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,EXPLICIT_APPROVAL_REQUIRED,pillar_policy;actor_authorization;tenant_scope;audit;explicit_approval
039,Firewall OS,CRITICAL,CORE,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,EXPLICIT_APPROVAL_REQUIRED,pillar_policy;actor_authorization;tenant_scope;audit;explicit_approval
040,Encryption OS,CRITICAL,CORE,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,EXPLICIT_APPROVAL_REQUIRED,pillar_policy;actor_authorization;tenant_scope;audit;explicit_approval
041,Protocol OS,HIGH,CORE,KEEP,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,POLICY_DEPENDENT,pillar_policy;actor_authorization;tenant_scope;audit
042,Identity OS,CRITICAL,CORE,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,EXPLICIT_APPROVAL_REQUIRED,pillar_policy;actor_authorization;tenant_scope;audit;explicit_approval
043,Access-Control OS,CRITICAL,CORE,KEEP,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,EXPLICIT_APPROVAL_REQUIRED,pillar_policy;actor_authorization;tenant_scope;audit;explicit_approval
044,Stealth OS,HIGH,RETIRED_REFRAMED,REFRAME,CANONICAL_REFRAME_ONLY,PILLARS_OS,POLICY_DEPENDENT,pillar_policy;actor_authorization;tenant_scope;audit;canonical_reframe_only
045,Jurisdiction OS,CRITICAL,SHARED_SERVICE,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,EXPLICIT_APPROVAL_REQUIRED,pillar_policy;actor_authorization;tenant_scope;audit;explicit_approval
046,Compliance OS,CRITICAL,SHARED_SERVICE,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,EXPLICIT_APPROVAL_REQUIRED,pillar_policy;actor_authorization;tenant_scope;audit;explicit_approval
047,Legal-Bot OS,CRITICAL,SHARED_SERVICE,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,EXPLICIT_APPROVAL_REQUIRED,pillar_policy;actor_authorization;tenant_scope;audit;explicit_approval
048,Contract OS,CRITICAL,SHARED_SERVICE,KEEP,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,EXPLICIT_APPROVAL_REQUIRED,pillar_policy;actor_authorization;tenant_scope;audit;explicit_approval
049,Governance OS,CRITICAL,POLICY,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,EXPLICIT_APPROVAL_REQUIRED,pillar_policy;actor_authorization;tenant_scope;audit;explicit_approval
050,Executive-Action OS,CRITICAL,AUTOMATION,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,EXPLICIT_APPROVAL_REQUIRED,pillar_policy;actor_authorization;tenant_scope;audit;explicit_approval;bounded_automation
051,Sentiment OS,HIGH,DATA_PRODUCT,KEEP,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,POLICY_DEPENDENT,pillar_policy;actor_authorization;tenant_scope;audit;data_governance
052,Narrative OS,MEDIUM,SHARED_SERVICE,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,STANDARD,pillar_policy;actor_authorization;tenant_scope;audit;data_governance
053,Mind-Virus OS,HIGH,RETIRED_REFRAMED,REFRAME,CANONICAL_REFRAME_ONLY,PILLARS_OS,POLICY_DEPENDENT,pillar_policy;actor_authorization;tenant_scope;audit;canonical_reframe_only;data_governance
054,Propaganda OS,HIGH,RETIRED_REFRAMED,REFRAME,CANONICAL_REFRAME_ONLY,PILLARS_OS,POLICY_DEPENDENT,pillar_policy;actor_authorization;tenant_scope;audit;canonical_reframe_only;data_governance
055,Psych-Prime OS,HIGH,RETIRED_REFRAMED,REFRAME,CANONICAL_REFRAME_ONLY,PILLARS_OS,POLICY_DEPENDENT,pillar_policy;actor_authorization;tenant_scope;audit;canonical_reframe_only;data_governance
056,Marketing OS,HIGH,PRODUCT,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,POLICY_DEPENDENT,pillar_policy;actor_authorization;tenant_scope;audit;data_governance
057,Viral-Loop OS,HIGH,AUTOMATION,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,POLICY_DEPENDENT,pillar_policy;actor_authorization;tenant_scope;audit;bounded_automation;data_governance
058,Customer-Capture OS,HIGH,PRODUCT,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,POLICY_DEPENDENT,pillar_policy;actor_authorization;tenant_scope;audit;data_governance
059,Brand-Authority OS,MEDIUM,SHARED_SERVICE,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,STANDARD,pillar_policy;actor_authorization;tenant_scope;audit;data_governance
060,Legend-Build OS,MEDIUM,DATA_PRODUCT,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,STANDARD,pillar_policy;actor_authorization;tenant_scope;audit;data_governance
061,Simulation-Warfare OS,HIGH,DATA_PRODUCT,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,POLICY_DEPENDENT,pillar_policy;actor_authorization;tenant_scope;audit;data_governance
062,Game-Theory OS,HIGH,DATA_PRODUCT,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,POLICY_DEPENDENT,pillar_policy;actor_authorization;tenant_scope;audit;data_governance
063,Competitor-Analysis OS,HIGH,DATA_PRODUCT,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,POLICY_DEPENDENT,pillar_policy;actor_authorization;tenant_scope;audit;data_governance
064,Espionage OS,CRITICAL,RETIRED_REFRAMED,REFRAME,CANONICAL_REFRAME_ONLY,PILLARS_OS,EXPLICIT_APPROVAL_REQUIRED,pillar_policy;actor_authorization;tenant_scope;audit;explicit_approval;canonical_reframe_only;data_governance
065,Recon OS,HIGH,DATA_PRODUCT,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,POLICY_DEPENDENT,pillar_policy;actor_authorization;tenant_scope;audit
066,Information-Vacuum OS,CRITICAL,SHARED_SERVICE,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,EXPLICIT_APPROVAL_REQUIRED,pillar_policy;actor_authorization;tenant_scope;audit;explicit_approval;data_governance
067,Signal-Filter OS,HIGH,DATA_PRODUCT,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,POLICY_DEPENDENT,pillar_policy;actor_authorization;tenant_scope;audit;data_governance
068,Logic-Chain OS,HIGH,SHARED_SERVICE,KEEP,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,POLICY_DEPENDENT,pillar_policy;actor_authorization;tenant_scope;audit;data_governance
069,Reasoning OS,HIGH,SHARED_SERVICE,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,POLICY_DEPENDENT,pillar_policy;actor_authorization;tenant_scope;audit;data_governance
070,Synthesis OS,CRITICAL,SHARED_SERVICE,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,EXPLICIT_APPROVAL_REQUIRED,pillar_policy;actor_authorization;tenant_scope;audit;explicit_approval;data_governance
071,Decision-Matrix OS,CRITICAL,SHARED_SERVICE,KEEP,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,EXPLICIT_APPROVAL_REQUIRED,pillar_policy;actor_authorization;tenant_scope;audit;explicit_approval;data_governance
072,Strategy-Draft OS,HIGH,SHARED_SERVICE,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,POLICY_DEPENDENT,pillar_policy;actor_authorization;tenant_scope;audit;data_governance
073,Tactical-Execution OS,CRITICAL,AUTOMATION,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,EXPLICIT_APPROVAL_REQUIRED,pillar_policy;actor_authorization;tenant_scope;audit;explicit_approval;bounded_automation
074,Conquest-Map OS,HIGH,RETIRED_REFRAMED,REFRAME,CANONICAL_REFRAME_ONLY,PILLARS_OS,POLICY_DEPENDENT,pillar_policy;actor_authorization;tenant_scope;audit;canonical_reframe_only;data_governance
075,Empire-Growth OS,HIGH,SHARED_SERVICE,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,POLICY_DEPENDENT,pillar_policy;actor_authorization;tenant_scope;audit
076,Sovereign OS,CRITICAL,RETIRED_REFRAMED,REFRAME,CANONICAL_REFRAME_ONLY,PILLARS_OS,EXPLICIT_APPROVAL_REQUIRED,pillar_policy;actor_authorization;tenant_scope;audit;explicit_approval;canonical_reframe_only
077,Hegemony OS,HIGH,RETIRED_REFRAMED,REFRAME,CANONICAL_REFRAME_ONLY,PILLARS_OS,POLICY_DEPENDENT,pillar_policy;actor_authorization;tenant_scope;audit;canonical_reframe_only;data_governance
078,Shadow-Strategy OS,CRITICAL,RETIRED_REFRAMED,REFRAME,CANONICAL_REFRAME_ONLY,PILLARS_OS,EXPLICIT_APPROVAL_REQUIRED,pillar_policy;actor_authorization;tenant_scope;audit;explicit_approval;canonical_reframe_only
079,Alliance OS,HIGH,SHARED_SERVICE,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,POLICY_DEPENDENT,pillar_policy;actor_authorization;tenant_scope;audit;data_governance
080,Neutral-Harbor OS,CRITICAL,POLICY,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,EXPLICIT_APPROVAL_REQUIRED,pillar_policy;actor_authorization;tenant_scope;audit;explicit_approval
081,Quantum-Safe OS,CRITICAL,R&D,R&D,RESEARCH_ONLY,PILLARS_OS,EXPLICIT_APPROVAL_REQUIRED,pillar_policy;actor_authorization;tenant_scope;audit;explicit_approval;research_boundary
082,Lattice-Crypt OS,CRITICAL,R&D,R&D,RESEARCH_ONLY,PILLARS_OS,EXPLICIT_APPROVAL_REQUIRED,pillar_policy;actor_authorization;tenant_scope;audit;explicit_approval;research_boundary
083,Archive OS,CRITICAL,CORE,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,EXPLICIT_APPROVAL_REQUIRED,pillar_policy;actor_authorization;tenant_scope;audit;explicit_approval;data_governance
084,Knowledge OS,HIGH,CORE,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,POLICY_DEPENDENT,pillar_policy;actor_authorization;tenant_scope;audit;data_governance
085,Imperial-Library OS,CRITICAL,CORE,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,EXPLICIT_APPROVAL_REQUIRED,pillar_policy;actor_authorization;tenant_scope;audit;explicit_approval;data_governance
086,Succession OS,CRITICAL,POLICY,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,EXPLICIT_APPROVAL_REQUIRED,pillar_policy;actor_authorization;tenant_scope;audit;explicit_approval
087,Digital-Lucas Node,CRITICAL,R&D,REFRAME,RESEARCH_ONLY,PILLARS_OS,EXPLICIT_APPROVAL_REQUIRED,pillar_policy;actor_authorization;tenant_scope;audit;explicit_approval;research_boundary;data_governance
088,Neural-Mirror OS,CRITICAL,R&D,REFRAME,RESEARCH_ONLY,PILLARS_OS,EXPLICIT_APPROVAL_REQUIRED,pillar_policy;actor_authorization;tenant_scope;audit;explicit_approval;research_boundary;data_governance
089,Biological-Fidelity OS,HIGH,RETIRED_REFRAMED,REFRAME,RESEARCH_ONLY,PILLARS_OS,POLICY_DEPENDENT,pillar_policy;actor_authorization;tenant_scope;audit;research_boundary;data_governance
090,Pattern-Match OS,HIGH,DATA_PRODUCT,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,POLICY_DEPENDENT,pillar_policy;actor_authorization;tenant_scope;audit;data_governance
091,Memory-Bank OS,HIGH,SHARED_SERVICE,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,POLICY_DEPENDENT,pillar_policy;actor_authorization;tenant_scope;audit;data_governance
092,Legacy OS,HIGH,POLICY,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,POLICY_DEPENDENT,pillar_policy;actor_authorization;tenant_scope;audit
093,Time-Horizon OS,HIGH,DATA_PRODUCT,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,POLICY_DEPENDENT,pillar_policy;actor_authorization;tenant_scope;audit;data_governance
094,Predictive-Crisis OS,HIGH,DATA_PRODUCT,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,POLICY_DEPENDENT,pillar_policy;actor_authorization;tenant_scope;audit;data_governance
095,Black-Swan OS,CRITICAL,POLICY,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,EXPLICIT_APPROVAL_REQUIRED,pillar_policy;actor_authorization;tenant_scope;audit;explicit_approval
096,Stability OS,CRITICAL,SHARED_SERVICE,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,EXPLICIT_APPROVAL_REQUIRED,pillar_policy;actor_authorization;tenant_scope;audit;explicit_approval
097,Equilibrium OS,HIGH,DATA_PRODUCT,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,POLICY_DEPENDENT,pillar_policy;actor_authorization;tenant_scope;audit;data_governance
098,Singularity OS,CRITICAL,R&D,REFRAME,RESEARCH_ONLY,PILLARS_OS,EXPLICIT_APPROVAL_REQUIRED,pillar_policy;actor_authorization;tenant_scope;audit;explicit_approval;research_boundary;data_governance
099,Evolution OS,CRITICAL,AUTOMATION,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,EXPLICIT_APPROVAL_REQUIRED,pillar_policy;actor_authorization;tenant_scope;audit;explicit_approval;bounded_automation
100,Omega OS,CRITICAL,R&D,REFRAME,RESEARCH_ONLY,PILLARS_OS,EXPLICIT_APPROVAL_REQUIRED,pillar_policy;actor_authorization;tenant_scope;audit;explicit_approval;research_boundary;data_governance
101,Mining OS,CRITICAL,DATA_PRODUCT,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,EXPLICIT_APPROVAL_REQUIRED,pillar_policy;actor_authorization;tenant_scope;audit;explicit_approval
102,Rare-Earth OS,HIGH,DATA_PRODUCT,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,POLICY_DEPENDENT,pillar_policy;actor_authorization;tenant_scope;audit
103,Energy OS,CRITICAL,SHARED_SERVICE,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,EXPLICIT_APPROVAL_REQUIRED,pillar_policy;actor_authorization;tenant_scope;audit;explicit_approval
104,Solar-Grid OS,CRITICAL,SHARED_SERVICE,KEEP,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,EXPLICIT_APPROVAL_REQUIRED,pillar_policy;actor_authorization;tenant_scope;audit;explicit_approval
105,Battery-Storage OS,CRITICAL,SHARED_SERVICE,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,EXPLICIT_APPROVAL_REQUIRED,pillar_policy;actor_authorization;tenant_scope;audit;explicit_approval
106,Extraction OS,CRITICAL,RETIRED_REFRAMED,REFRAME,CANONICAL_REFRAME_ONLY,PILLARS_OS,EXPLICIT_APPROVAL_REQUIRED,pillar_policy;actor_authorization;tenant_scope;audit;explicit_approval;canonical_reframe_only
107,Refinery OS,CRITICAL,RETIRED_REFRAMED,REFRAME,CANONICAL_REFRAME_ONLY,PILLARS_OS,EXPLICIT_APPROVAL_REQUIRED,pillar_policy;actor_authorization;tenant_scope;audit;explicit_approval;canonical_reframe_only
108,Production OS,HIGH,SHARED_SERVICE,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,POLICY_DEPENDENT,pillar_policy;actor_authorization;tenant_scope;audit
109,Manufacturing OS,HIGH,SHARED_SERVICE,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,POLICY_DEPENDENT,pillar_policy;actor_authorization;tenant_scope;audit
110,Hardware OS,HIGH,SHARED_SERVICE,KEEP,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,POLICY_DEPENDENT,pillar_policy;actor_authorization;tenant_scope;audit
111,Robotics OS,CRITICAL,R&D,REFRAME,RESEARCH_ONLY,PILLARS_OS,EXPLICIT_APPROVAL_REQUIRED,pillar_policy;actor_authorization;tenant_scope;audit;explicit_approval;research_boundary
112,Actuator OS,CRITICAL,R&D,REFRAME,RESEARCH_ONLY,PILLARS_OS,EXPLICIT_APPROVAL_REQUIRED,pillar_policy;actor_authorization;tenant_scope;audit;explicit_approval;research_boundary
113,Drone-Swarm OS,CRITICAL,R&D,REFRAME,RESEARCH_ONLY,PILLARS_OS,EXPLICIT_APPROVAL_REQUIRED,pillar_policy;actor_authorization;tenant_scope;audit;explicit_approval;research_boundary
114,Fleet OS,HIGH,PRODUCT,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,POLICY_DEPENDENT,pillar_policy;actor_authorization;tenant_scope;audit
115,Logistics OS,HIGH,PRODUCT,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,POLICY_DEPENDENT,pillar_policy;actor_authorization;tenant_scope;audit
116,Supply-Chain OS,HIGH,PRODUCT,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,POLICY_DEPENDENT,pillar_policy;actor_authorization;tenant_scope;audit
117,Warehousing OS,HIGH,PRODUCT,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,POLICY_DEPENDENT,pillar_policy;actor_authorization;tenant_scope;audit
118,Inventory OS,HIGH,PRODUCT,KEEP,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,POLICY_DEPENDENT,pillar_policy;actor_authorization;tenant_scope;audit
119,Procurement OS,HIGH,PRODUCT,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,POLICY_DEPENDENT,pillar_policy;actor_authorization;tenant_scope;audit
120,Courier OS,HIGH,PRODUCT,KEEP,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,POLICY_DEPENDENT,pillar_policy;actor_authorization;tenant_scope;audit
121,Ghost-Node OS,HIGH,RETIRED_REFRAMED,REFRAME,CANONICAL_REFRAME_ONLY,PILLARS_OS,POLICY_DEPENDENT,pillar_policy;actor_authorization;tenant_scope;audit;canonical_reframe_only
122,Locker OS,HIGH,PRODUCT,KEEP,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,POLICY_DEPENDENT,pillar_policy;actor_authorization;tenant_scope;audit
123,Regional-Trade OS,CRITICAL,DATA_PRODUCT,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,EXPLICIT_APPROVAL_REQUIRED,pillar_policy;actor_authorization;tenant_scope;audit;explicit_approval
124,SADC-Rail OS,HIGH,DATA_PRODUCT,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,POLICY_DEPENDENT,pillar_policy;actor_authorization;tenant_scope;audit
125,Corridor OS,HIGH,DATA_PRODUCT,REFRAME,ELIGIBLE_FOR_POLICY_EVALUATION,PILLARS_OS,POLICY_DEPENDENT,pillar_policy;actor_authorization;tenant_scope;audit
