os_id,name,domain,status,priority,implementation_type,roadmap_phase,security_level,owner
OS-108,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-109,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-110,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-111,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-112,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-113,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-114,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-115,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-116,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-117,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-118,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-119,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-120,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-121,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-122,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-123,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-124,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-125,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-126,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-127,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-128,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-129,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-130,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-131,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-132,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-133,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-134,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-135,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-136,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-137,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-138,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-139,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-140,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-141,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-142,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-143,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-144,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-145,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-146,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-147,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-148,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-149,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-150,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-151,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-152,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-153,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-154,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-155,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-156,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-157,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-158,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-159,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-160,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-161,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-162,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-163,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-164,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-165,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-166,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-167,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-168,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-169,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-170,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-171,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-172,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-173,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-174,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-175,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-176,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-177,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-178,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-179,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-180,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-181,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-182,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-183,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-184,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-185,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-186,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-187,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-188,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-189,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-190,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-191,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-192,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-193,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-194,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-195,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-196,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-197,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-198,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-199,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-200,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-201,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-202,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-203,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-204,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-205,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-206,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-207,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-208,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-209,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-210,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-211,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-212,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-213,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-214,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-215,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-216,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-217,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-218,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-219,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-220,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-221,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-222,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-223,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-224,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-225,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-226,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-227,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-228,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-229,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-230,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-231,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-232,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-233,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-234,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-235,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-236,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-237,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-238,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-239,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-240,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-241,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-242,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-243,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-244,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-245,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-246,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-247,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-248,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-249,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-250,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-251,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-252,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-253,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-254,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-255,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-256,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-257,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-258,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-259,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-260,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-261,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-262,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-263,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-264,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-265,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-266,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-267,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-268,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
OS-269,TBD,TBD,DEFINED,TBD,TBD,TBD,TBD,TBD
